ID,Ticker,Action,Type,Side,Price,Volume,Cancel_Target_ID
115,-1,Cancel,-1,-1,-1,-1,114
116,2313,Add,L,Buy,101.96,235,-1
117,-1,Cancel,-1,-1,-1,-1,116
118,1131,Add,M,Sell,-1,519,-1
119,1131,Add,L,Sell,55.21,92,-1
120,-1,Cancel,-1,-1,-1,-1,119
121,2211,Add,L,Sell,203.49,41,-1
122,-1,Cancel,-1,-1,-1,-1,121
123,1131,Add,L,Sell,75.84,287,-1
124,-1,Cancel,-1,-1,-1,-1,123
125,2313,Add,M,Sell,-1,495,-1
126,2211,Add,L,Sell,182.40,501,-1
127,-1,Cancel,-1,-1,-1,-1,126
128,2211,Add,L,Buy,191.37,260,-1
129,-1,Cancel,-1,-1,-1,-1,128
130,1131,Add,M,Sell,-1,189,-1
131,1131,Add,M,Sell,-1,449,-1
132,2211,Add,L,Buy,197.98,114,-1
133,-1,Cancel,-1,-1,-1,-1,132
134,2313,Add,M,Sell,-1,538,-1
135,2313,Add,M,Sell,-1,328,-1
136,2313,Add,L,Sell,151.02,529,-1
137,-1,Cancel,-1,-1,-1,-1,136
138,2313,Add,M,Buy,-1,359,-1
139,2211,Add,L,Buy,168.93,247,-1
140,-1,Cancel,-1,-1,-1,-1,139
141,2313,Add,L,Sell,204.55,300,-1
142,-1,Cancel,-1,-1,-1,-1,141
143,1131,Add,M,Sell,-1,553,-1
144,1131,Add,L,Buy,175.25,426,-1
145,-1,Cancel,-1,-1,-1,-1,144
146,2211,Add,L,Buy,54.22,58,-1
147,1131,Add,L,Buy,205.45,469,-1
148,-1,Cancel,-1,-1,-1,-1,146
149,2313,Add,L,Sell,144.46,563,-1
150,2211,Add,L,Buy,197.25,41,-1
151,2211,Add,M,Sell,-1,429,-1
152,-1,Cancel,-1,-1,-1,-1,150
153,2313,Add,L,Buy,192.72,380,-1
154,-1,Cancel,-1,-1,-1,-1,153
155,1131,Add,L,Sell,168.71,147,-1
156,2211,Add,L,Sell,99.40,531,-1
157,-1,Cancel,-1,-1,-1,-1,155
158,1131,Add,L,Buy,91.31,357,-1
159,2313,Add,M,Buy,-1,99,-1
160,-1,Cancel,-1,-1,-1,-1,158
161,2313,Add,M,Buy,-1,223,-1
162,-1,Cancel,-1,-1,-1,-1,156
163,2313,Add,L,Buy,211.71,490,-1
164,1131,Add,L,Buy,51.71,575,-1
165,-1,Cancel,-1,-1,-1,-1,164
166,2313,Add,L,Buy,99.69,86,-1
167,1131,Add,L,Buy,46.51,578,-1
168,-1,Cancel,-1,-1,-1,-1,147
169,2211,Add,M,Sell,-1,382,-1
170,2211,Add,M,Buy,-1,99,-1
171,2211,Add,L,Buy,156.71,506,-1
172,2211,Add,L,Sell,195.79,410,-1
173,-1,Cancel,-1,-1,-1,-1,163
174,2313,Add,L,Buy,103.67,280,-1
175,-1,Cancel,-1,-1,-1,-1,172
176,-1,Cancel,-1,-1,-1,-1,171
177,-1,Cancel,-1,-1,-1,-1,166
178,2211,Add,L,Buy,145.67,260,-1
179,2211,Add,M,Sell,-1,249,-1
180,-1,Cancel,-1,-1,-1,-1,149
181,-1,Cancel,-1,-1,-1,-1,178
182,-1,Cancel,-1,-1,-1,-1,167
183,-1,Cancel,-1,-1,-1,-1,174
184,2313,Add,M,Buy,-1,201,-1
185,2211,Add,M,Sell,-1,477,-1
186,2313,Add,L,Sell,87.11,176,-1
187,2313,Add,M,Buy,-1,257,-1
188,-1,Cancel,-1,-1,-1,-1,186
189,2211,Add,L,Sell,152.84,202,-1
190,2211,Add,L,Buy,197.61,204,-1
191,2211,Add,L,Buy,139.66,356,-1
192,2211,Add,M,Sell,-1,463,-1
193,1131,Add,L,Sell,117.28,431,-1
194,2313,Add,L,Sell,99.99,219,-1
195,-1,Cancel,-1,-1,-1,-1,194
196,2211,Add,L,Sell,209.80,430,-1
197,-1,Cancel,-1,-1,-1,-1,191
198,-1,Cancel,-1,-1,-1,-1,189
199,1131,Add,M,Buy,-1,295,-1
200,2211,Add,M,Sell,-1,571,-1
201,-1,Cancel,-1,-1,-1,-1,196
202,1131,Add,L,Buy,141.79,487,-1
203,-1,Cancel,-1,-1,-1,-1,202
204,-1,Cancel,-1,-1,-1,-1,193
205,-1,Cancel,-1,-1,-1,-1,190
206,2313,Add,L,Sell,228.62,521,-1
207,2313,Add,L,Sell,220.85,465,-1
208,-1,Cancel,-1,-1,-1,-1,206
209,-1,Cancel,-1,-1,-1,-1,207
210,2313,Add,M,Buy,-1,64,-1
211,2313,Add,L,Sell,123.28,582,-1
212,-1,Cancel,-1,-1,-1,-1,211
213,2211,Add,L,Sell,177.16,468,-1
214,-1,Cancel,-1,-1,-1,-1,213
215,2313,Add,M,Buy,-1,552,-1
216,2313,Add,L,Buy,202.84,484,-1
217,-1,Cancel,-1,-1,-1,-1,216
218,2313,Add,M,Sell,-1,565,-1
219,2313,Add,L,Buy,231.14,212,-1
220,-1,Cancel,-1,-1,-1,-1,219
221,1131,Add,M,Buy,-1,67,-1
222,1131,Add,M,Sell,-1,551,-1
223,1131,Add,L,Sell,141.81,213,-1
224,2313,Add,L,Buy,49.98,28,-1
225,-1,Cancel,-1,-1,-1,-1,224
226,-1,Cancel,-1,-1,-1,-1,223
227,2313,Add,L,Buy,150.54,68,-1
228,-1,Cancel,-1,-1,-1,-1,227
229,2313,Add,L,Sell,176.02,179,-1
230,1131,Add,L,Sell,224.37,364,-1
231,1131,Add,M,Sell,-1,433,-1
232,2211,Add,M,Sell,-1,426,-1
233,-1,Cancel,-1,-1,-1,-1,229
234,-1,Cancel,-1,-1,-1,-1,230
235,2211,Add,M,Sell,-1,404,-1
236,2313,Add,L,Sell,59.57,527,-1
237,1131,Add,M,Buy,-1,248,-1
238,1131,Add,M,Sell,-1,197,-1
239,2211,Add,L,Sell,101.51,204,-1
240,2313,Add,L,Sell,68.71,29,-1
241,1131,Add,L,Sell,233.38,95,-1
242,2211,Add,L,Sell,108.76,18,-1
243,2211,Add,L,Buy,160.70,299,-1
244,1131,Add,L,Buy,73.61,192,-1
245,-1,Cancel,-1,-1,-1,-1,239
246,2211,Add,L,Sell,229.16,38,-1
247,-1,Cancel,-1,-1,-1,-1,241
248,-1,Cancel,-1,-1,-1,-1,240
249,2211,Add,M,Buy,-1,420,-1
250,2211,Add,M,Sell,-1,282,-1
251,2211,Add,L,Sell,188.65,276,-1
252,-1,Cancel,-1,-1,-1,-1,236
253,-1,Cancel,-1,-1,-1,-1,246
254,2211,Add,M,Buy,-1,417,-1
255,2211,Add,M,Buy,-1,464,-1
256,2313,Add,L,Buy,170.19,161,-1
257,2313,Add,L,Sell,143.10,80,-1
258,1131,Add,M,Buy,-1,56,-1
259,2211,Add,M,Buy,-1,283,-1
260,-1,Cancel,-1,-1,-1,-1,256
261,2211,Add,L,Buy,142.94,362,-1
262,2211,Add,M,Buy,-1,377,-1
263,-1,Cancel,-1,-1,-1,-1,242
264,-1,Cancel,-1,-1,-1,-1,261
265,-1,Cancel,-1,-1,-1,-1,257
266,-1,Cancel,-1,-1,-1,-1,251
267,2313,Add,L,Buy,119.50,300,-1
268,2211,Add,M,Buy,-1,557,-1
269,-1,Cancel,-1,-1,-1,-1,267
270,-1,Cancel,-1,-1,-1,-1,244
271,2313,Add,L,Buy,132.10,83,-1
272,2313,Add,L,Buy,145.31,248,-1
273,2313,Add,L,Buy,103.52,354,-1
274,-1,Cancel,-1,-1,-1,-1,243
275,-1,Cancel,-1,-1,-1,-1,273
276,2313,Add,L,Buy,57.98,585,-1
277,-1,Cancel,-1,-1,-1,-1,276
278,1131,Add,L,Buy,179.83,526,-1
279,-1,Cancel,-1,-1,-1,-1,271
280,2313,Add,M,Sell,-1,340,-1
281,2211,Add,M,Sell,-1,457,-1
282,2313,Add,L,Sell,219.77,159,-1
283,-1,Cancel,-1,-1,-1,-1,272
284,1131,Add,L,Buy,65.24,302,-1
285,2313,Add,M,Sell,-1,223,-1
286,-1,Cancel,-1,-1,-1,-1,282
287,-1,Cancel,-1,-1,-1,-1,284
288,1131,Add,L,Sell,115.37,74,-1
289,2313,Add,L,Sell,206.30,183,-1
290,-1,Cancel,-1,-1,-1,-1,288
291,-1,Cancel,-1,-1,-1,-1,289
292,-1,Cancel,-1,-1,-1,-1,278
293,1131,Add,M,Sell,-1,357,-1
294,2211,Add,L,Buy,236.83,439,-1
295,-1,Cancel,-1,-1,-1,-1,294
296,1131,Add,M,Buy,-1,550,-1
297,1131,Add,M,Sell,-1,444,-1
298,1131,Add,L,Sell,203.49,466,-1
299,-1,Cancel,-1,-1,-1,-1,298
300,2313,Add,L,Sell,73.79,117,-1
301,2211,Add,L,Buy,173.38,425,-1
302,2211,Add,M,Sell,-1,86,-1
303,2211,Add,L,Sell,45.64,145,-1
304,2313,Add,L,Sell,233.25,266,-1
305,-1,Cancel,-1,-1,-1,-1,300
306,-1,Cancel,-1,-1,-1,-1,303
307,2211,Add,L,Buy,128.39,337,-1
308,-1,Cancel,-1,-1,-1,-1,304
309,-1,Cancel,-1,-1,-1,-1,301
310,-1,Cancel,-1,-1,-1,-1,307
311,2313,Add,L,Buy,115.70,325,-1
312,2211,Add,L,Buy,103.78,30,-1
313,-1,Cancel,-1,-1,-1,-1,312
314,1131,Add,M,Sell,-1,355,-1
315,-1,Cancel,-1,-1,-1,-1,311
316,2313,Add,L,Buy,225.04,298,-1
317,-1,Cancel,-1,-1,-1,-1,316
318,2313,Add,L,Sell,156.08,186,-1
319,-1,Cancel,-1,-1,-1,-1,318
320,2211,Add,L,Buy,167.08,401,-1
321,-1,Cancel,-1,-1,-1,-1,320
322,2313,Add,L,Buy,114.36,438,-1
323,-1,Cancel,-1,-1,-1,-1,322
324,2313,Add,L,Sell,172.44,532,-1
325,-1,Cancel,-1,-1,-1,-1,324
326,2211,Add,L,Buy,63.20,169,-1
327,-1,Cancel,-1,-1,-1,-1,326
328,1131,Add,M,Buy,-1,507,-1
329,1131,Add,L,Sell,56.97,488,-1
330,2313,Add,M,Buy,-1,340,-1
331,-1,Cancel,-1,-1,-1,-1,329
332,2313,Add,L,Sell,128.28,296,-1
333,1131,Add,L,Buy,215.37,376,-1
334,2313,Add,L,Sell,109.61,317,-1
335,-1,Cancel,-1,-1,-1,-1,334
336,2313,Add,M,Buy,-1,78,-1
337,-1,Cancel,-1,-1,-1,-1,332
338,-1,Cancel,-1,-1,-1,-1,333
339,2313,Add,L,Sell,120.24,410,-1
340,2211,Add,M,Sell,-1,476,-1
341,-1,Cancel,-1,-1,-1,-1,339
342,2211,Add,L,Buy,64.15,359,-1
343,-1,Cancel,-1,-1,-1,-1,342
344,2211,Add,L,Sell,109.34,90,-1
345,-1,Cancel,-1,-1,-1,-1,344
346,2211,Add,L,Sell,119.28,208,-1
347,1131,Add,L,Sell,143.08,78,-1
348,-1,Cancel,-1,-1,-1,-1,347
349,2313,Add,L,Buy,100.12,390,-1
350,-1,Cancel,-1,-1,-1,-1,349
351,2211,Add,L,Sell,205.15,539,-1
352,1131,Add,L,Sell,71.70,424,-1
353,1131,Add,L,Buy,143.58,169,-1
354,1131,Add,L,Sell,234.66,345,-1
355,-1,Cancel,-1,-1,-1,-1,353
356,-1,Cancel,-1,-1,-1,-1,351
357,-1,Cancel,-1,-1,-1,-1,346
358,-1,Cancel,-1,-1,-1,-1,354
359,-1,Cancel,-1,-1,-1,-1,352
360,2313,Add,M,Buy,-1,467,-1
361,2211,Add,L,Sell,54.38,23,-1
362,1131,Add,L,Sell,162.75,544,-1
363,2313,Add,M,Buy,-1,256,-1
364,-1,Cancel,-1,-1,-1,-1,362
365,2313,Add,L,Buy,196.26,435,-1
366,-1,Cancel,-1,-1,-1,-1,365
367,-1,Cancel,-1,-1,-1,-1,361
368,2313,Add,M,Sell,-1,230,-1
369,2211,Add,M,Buy,-1,22,-1
370,2211,Add,L,Buy,133.65,374,-1
371,-1,Cancel,-1,-1,-1,-1,370
372,2313,Add,L,Sell,79.00,567,-1
373,1131,Add,M,Buy,-1,419,-1
374,2211,Add,L,Sell,67.28,73,-1
375,-1,Cancel,-1,-1,-1,-1,372
376,-1,Cancel,-1,-1,-1,-1,374
377,2313,Add,L,Sell,150.40,488,-1
378,2211,Add,L,Sell,220.42,450,-1
379,-1,Cancel,-1,-1,-1,-1,378
380,-1,Cancel,-1,-1,-1,-1,377
381,2211,Add,M,Sell,-1,47,-1
382,2313,Add,L,Sell,66.56,146,-1
383,1131,Add,L,Sell,209.51,26,-1
384,2313,Add,L,Sell,84.79,412,-1
385,-1,Cancel,-1,-1,-1,-1,384
386,1131,Add,M,Sell,-1,2,-1
387,1131,Add,L,Buy,208.76,322,-1
388,-1,Cancel,-1,-1,-1,-1,383
389,-1,Cancel,-1,-1,-1,-1,387
390,-1,Cancel,-1,-1,-1,-1,382
391,2211,Add,L,Buy,191.92,241,-1
392,2313,Add,L,Buy,161.89,229,-1
393,-1,Cancel,-1,-1,-1,-1,391
394,2211,Add,L,Sell,216.94,244,-1
395,1131,Add,L,Buy,226.42,206,-1
396,-1,Cancel,-1,-1,-1,-1,394
397,-1,Cancel,-1,-1,-1,-1,395
398,2313,Add,M,Sell,-1,75,-1
399,1131,Add,M,Sell,-1,267,-1
400,1131,Add,M,Buy,-1,395,-1
401,1131,Add,L,Buy,169.43,283,-1
402,-1,Cancel,-1,-1,-1,-1,401
403,-1,Cancel,-1,-1,-1,-1,392
404,2211,Add,M,Buy,-1,264,-1
405,1131,Add,L,Buy,104.59,42,-1
406,2313,Add,L,Sell,213.86,58,-1
407,1131,Add,L,Buy,67.45,37,-1
408,1131,Add,M,Buy,-1,456,-1
409,2211,Add,M,Sell,-1,249,-1
410,2211,Add,M,Sell,-1,375,-1
411,2313,Add,L,Sell,209.12,72,-1
412,2211,Add,L,Sell,156.23,105,-1
413,2211,Add,L,Sell,141.30,424,-1
414,-1,Cancel,-1,-1,-1,-1,412
415,-1,Cancel,-1,-1,-1,-1,407
416,-1,Cancel,-1,-1,-1,-1,405
417,2211,Add,L,Buy,206.79,526,-1
418,-1,Cancel,-1,-1,-1,-1,406
419,2313,Add,M,Buy,-1,313,-1
420,-1,Cancel,-1,-1,-1,-1,411
421,-1,Cancel,-1,-1,-1,-1,417
422,-1,Cancel,-1,-1,-1,-1,413
423,2313,Add,M,Sell,-1,374,-1
424,2313,Add,M,Buy,-1,390,-1
425,1131,Add,L,Buy,217.72,57,-1
426,2313,Add,L,Sell,101.56,130,-1
427,-1,Cancel,-1,-1,-1,-1,426
428,1131,Add,L,Sell,52.47,283,-1
429,-1,Cancel,-1,-1,-1,-1,428
430,-1,Cancel,-1,-1,-1,-1,425
431,2211,Add,M,Sell,-1,251,-1
432,2313,Add,L,Sell,94.49,123,-1
433,-1,Cancel,-1,-1,-1,-1,432
434,2211,Add,L,Sell,231.50,543,-1
435,-1,Cancel,-1,-1,-1,-1,434
436,2313,Add,L,Sell,99.70,507,-1
437,-1,Cancel,-1,-1,-1,-1,436
438,1131,Add,L,Sell,207.85,270,-1
439,-1,Cancel,-1,-1,-1,-1,438
440,2211,Add,M,Sell,-1,64,-1
441,2313,Add,M,Buy,-1,242,-1
442,2313,Add,L,Sell,82.29,17,-1
443,1131,Add,L,Sell,219.71,281,-1
444,-1,Cancel,-1,-1,-1,-1,443
445,1131,Add,M,Sell,-1,1,-1
446,-1,Cancel,-1,-1,-1,-1,442
447,1131,Add,M,Sell,-1,137,-1
448,1131,Add,L,Buy,135.71,586,-1
449,1131,Add,L,Sell,66.61,359,-1
450,1131,Add,L,Buy,166.22,257,-1
451,2313,Add,L,Sell,144.46,257,-1
452,2313,Add,L,Buy,203.09,551,-1
453,-1,Cancel,-1,-1,-1,-1,450
454,-1,Cancel,-1,-1,-1,-1,448
455,2313,Add,L,Sell,106.60,480,-1
456,-1,Cancel,-1,-1,-1,-1,452
457,2313,Add,M,Sell,-1,551,-1
458,-1,Cancel,-1,-1,-1,-1,451
459,-1,Cancel,-1,-1,-1,-1,449
460,1131,Add,L,Sell,144.92,314,-1
461,2313,Add,L,Buy,113.31,288,-1
462,2211,Add,L,Buy,234.13,449,-1
463,2211,Add,M,Sell,-1,516,-1
464,2313,Add,L,Sell,114.90,137,-1
465,-1,Cancel,-1,-1,-1,-1,464
466,-1,Cancel,-1,-1,-1,-1,455
467,-1,Cancel,-1,-1,-1,-1,462
468,1131,Add,M,Sell,-1,521,-1
469,-1,Cancel,-1,-1,-1,-1,460
470,1131,Add,M,Buy,-1,586,-1
471,2313,Add,M,Sell,-1,105,-1
472,2211,Add,M,Sell,-1,380,-1
473,-1,Cancel,-1,-1,-1,-1,461
474,1131,Add,L,Buy,219.85,353,-1
475,-1,Cancel,-1,-1,-1,-1,474
476,2313,Add,M,Buy,-1,414,-1
477,2313,Add,M,Buy,-1,519,-1
478,2313,Add,M,Sell,-1,165,-1
479,1131,Add,L,Buy,125.52,358,-1
480,-1,Cancel,-1,-1,-1,-1,479
481,2211,Add,L,Buy,141.37,215,-1
482,-1,Cancel,-1,-1,-1,-1,481
483,2313,Add,L,Buy,194.51,115,-1
484,2313,Add,M,Sell,-1,572,-1
485,2211,Add,M,Buy,-1,151,-1
486,2211,Add,L,Sell,195.81,284,-1
487,-1,Cancel,-1,-1,-1,-1,483
488,2313,Add,L,Buy,72.44,52,-1
489,1131,Add,M,Sell,-1,374,-1
490,2313,Add,L,Sell,232.03,59,-1
491,1131,Add,M,Buy,-1,539,-1
492,2211,Add,L,Buy,88.06,402,-1
493,-1,Cancel,-1,-1,-1,-1,488
494,1131,Add,M,Buy,-1,203,-1
495,1131,Add,L,Sell,111.51,11,-1
496,-1,Cancel,-1,-1,-1,-1,492
497,2313,Add,L,Buy,77.82,268,-1
498,2211,Add,L,Buy,181.64,328,-1
499,-1,Cancel,-1,-1,-1,-1,490
500,2211,Add,L,Sell,67.22,537,-1
501,-1,Cancel,-1,-1,-1,-1,497
502,-1,Cancel,-1,-1,-1,-1,486
503,2211,Add,M,Buy,-1,206,-1
504,2313,Add,M,Buy,-1,398,-1
505,2211,Add,L,Buy,88.73,332,-1
506,-1,Cancel,-1,-1,-1,-1,498
507,-1,Cancel,-1,-1,-1,-1,505
508,2211,Add,L,Sell,223.13,362,-1
509,2313,Add,M,Buy,-1,121,-1
510,-1,Cancel,-1,-1,-1,-1,508
511,-1,Cancel,-1,-1,-1,-1,495
512,2313,Add,L,Buy,140.96,504,-1
513,2211,Add,L,Buy,132.21,283,-1
514,1131,Add,L,Buy,98.40,537,-1
515,-1,Cancel,-1,-1,-1,-1,500
516,-1,Cancel,-1,-1,-1,-1,512
517,-1,Cancel,-1,-1,-1,-1,513
518,-1,Cancel,-1,-1,-1,-1,514
519,2211,Add,L,Sell,141.18,498,-1
520,1131,Add,M,Sell,-1,170,-1
521,1131,Add,L,Buy,64.85,212,-1
522,-1,Cancel,-1,-1,-1,-1,519
523,-1,Cancel,-1,-1,-1,-1,521
524,1131,Add,L,Buy,72.24,204,-1
525,2313,Add,L,Buy,121.50,3,-1
526,2211,Add,M,Sell,-1,224,-1
527,2313,Add,L,Buy,168.44,575,-1
528,-1,Cancel,-1,-1,-1,-1,527
529,-1,Cancel,-1,-1,-1,-1,524
530,2211,Add,L,Buy,139.63,170,-1
531,-1,Cancel,-1,-1,-1,-1,525
532,2313,Add,L,Buy,200.27,427,-1
533,2211,Add,L,Buy,183.14,28,-1
534,1131,Add,M,Buy,-1,522,-1
535,-1,Cancel,-1,-1,-1,-1,530
536,-1,Cancel,-1,-1,-1,-1,532
537,2313,Add,L,Sell,115.87,272,-1
538,-1,Cancel,-1,-1,-1,-1,533
539,-1,Cancel,-1,-1,-1,-1,537
540,2211,Add,M,Buy,-1,141,-1
541,2313,Add,L,Buy,153.38,171,-1
542,-1,Cancel,-1,-1,-1,-1,541
543,2211,Add,L,Sell,60.90,229,-1
544,-1,Cancel,-1,-1,-1,-1,543
545,2211,Add,L,Sell,164.43,165,-1
546,-1,Cancel,-1,-1,-1,-1,545
547,2313,Add,L,Buy,93.30,452,-1
548,2211,Add,M,Sell,-1,82,-1
549,1131,Add,L,Sell,188.31,193,-1
550,1131,Add,L,Sell,208.91,56,-1
551,-1,Cancel,-1,-1,-1,-1,549
552,-1,Cancel,-1,-1,-1,-1,547
553,-1,Cancel,-1,-1,-1,-1,550
554,1131,Add,M,Sell,-1,236,-1
555,1131,Add,L,Sell,103.02,146,-1
556,-1,Cancel,-1,-1,-1,-1,555
557,2313,Add,L,Buy,185.21,197,-1
558,2211,Add,L,Buy,220.24,263,-1
559,1131,Add,L,Sell,42.86,110,-1
560,2211,Add,L,Buy,186.61,493,-1
561,2211,Add,L,Buy,154.62,61,-1
562,2313,Add,L,Sell,235.09,491,-1
563,-1,Cancel,-1,-1,-1,-1,557
564,-1,Cancel,-1,-1,-1,-1,560
565,1131,Add,M,Sell,-1,31,-1
566,-1,Cancel,-1,-1,-1,-1,558
567,-1,Cancel,-1,-1,-1,-1,559
568,2211,Add,M,Buy,-1,311,-1
569,-1,Cancel,-1,-1,-1,-1,561
570,1131,Add,M,Sell,-1,202,-1
571,-1,Cancel,-1,-1,-1,-1,562
572,2211,Add,L,Buy,199.00,387,-1
573,1131,Add,L,Sell,131.01,39,-1
574,-1,Cancel,-1,-1,-1,-1,573
575,1131,Add,L,Sell,192.40,130,-1
576,-1,Cancel,-1,-1,-1,-1,572
577,2313,Add,M,Sell,-1,566,-1
578,-1,Cancel,-1,-1,-1,-1,575
579,2211,Add,M,Buy,-1,330,-1
580,1131,Add,L,Sell,44.26,226,-1
581,-1,Cancel,-1,-1,-1,-1,580
582,2313,Add,L,Buy,233.94,375,-1
583,-1,Cancel,-1,-1,-1,-1,582
584,2211,Add,L,Buy,123.69,410,-1
585,2211,Add,M,Sell,-1,17,-1
586,2313,Add,L,Sell,42.94,107,-1
587,2313,Add,L,Buy,222.37,574,-1
588,-1,Cancel,-1,-1,-1,-1,587
589,1131,Add,L,Buy,223.28,519,-1
590,-1,Cancel,-1,-1,-1,-1,584
591,2211,Add,M,Buy,-1,542,-1
592,2313,Add,L,Buy,117.11,70,-1
593,-1,Cancel,-1,-1,-1,-1,592
594,2211,Add,L,Sell,161.98,369,-1
595,-1,Cancel,-1,-1,-1,-1,586
596,-1,Cancel,-1,-1,-1,-1,589
597,-1,Cancel,-1,-1,-1,-1,594
598,2313,Add,L,Sell,171.91,31,-1
599,2211,Add,L,Sell,139.77,224,-1
600,1131,Add,L,Sell,148.24,210,-1
